,City,Country,Date_Checked,Latitude,Longitude,Temp(K),MaxTemp(K),Humidity(%),Cloudiness(%),Wind_Speed(meter/sec),Temp(F),MaxTemp(F),Wind_Speed(mph)
1,Nome,US,1553631629.0,30.04,-94.42,296.96,298.71,40.0,1.0,4.26,75,78,10
2,Ust-Maya,RU,1553631772.0,60.42,134.54,257.338,257.338,79.0,48.0,2.01,4,4,4
3,Jamestown,AU,1553631731.0,-33.21,138.6,279.188,279.188,80.0,0.0,2.46,43,43,6
4,Georgetown,GY,1553626800.0,6.8,-58.16,303.15,303.15,58.0,75.0,5.1,86,86,11
5,Severo-Kurilsk,RU,1553631747.0,50.68,156.12,270.338,270.338,100.0,36.0,3.81,27,27,9
6,New Norfolk,AU,1553631475.0,-42.78,147.06,279.02,282.15,70.0,0.0,3.1,43,48,7
7,Vaini,IN,1553631738.0,15.34,74.49,294.588,294.588,93.0,20.0,0.76,71,71,2
8,Hithadhoo,MV,1553631743.0,-0.6,73.08,301.888,301.888,100.0,80.0,2.06,84,84,5
9,Necochea,AR,1553631107.0,-38.55,-58.74,290.93,290.93,56.0,0.0,2.68,64,64,6
10,Bara,NG,1553631772.0,10.41,10.6,299.888,299.888,24.0,0.0,4.21,80,80,9
11,Bambous Virieux,MU,1553631546.0,-20.34,57.76,298.97,300.15,83.0,40.0,0.5,78,81,1
12,Ponta Delgada,PT,1553631534.0,37.73,-25.67,286.46,287.15,76.0,20.0,4.1,56,57,9
13,Tiksi,RU,1553631649.0,71.64,128.87,244.088,244.088,29.0,0.0,1.26,-20,-20,3
14,Katsuura,JP,1553630674.0,33.93,134.5,280.63,282.15,61.0,20.0,1.5,45,48,3
15,Panama City,US,1553631609.0,30.16,-85.65,294.32,295.93,53.0,20.0,6.7,70,73,15
16,Carnarvon,ZA,1553631754.0,-30.97,22.13,288.588,288.588,35.0,88.0,4.31,60,60,10
17,Hermanus,ZA,1553631334.0,-34.42,19.24,292.71,293.71,78.0,80.0,6.26,67,69,14
18,Dunedin,NZ,1553631442.0,-45.87,170.5,287.04,287.04,96.0,0.0,4.76,57,57,11
19,Punta Arenas,CL,1553626800.0,-53.16,-70.91,285.15,285.15,71.0,75.0,7.7,54,54,17
21,Rikitea,PF,1553631735.0,-23.12,-134.97,300.088,300.088,97.0,12.0,6.01,80,80,13
22,Neuquen,AR,1553626800.0,-38.95,-68.06,296.15,296.15,19.0,0.0,5.1,73,73,11
